split,ghost_timestamp,source_file,target_trace_15,tsne_x,tsne_y,hmm_state,gmm_cluster
TRAIN,2026-04-21T21:29:00-05:00,2026_04.csv,2,0.367919662751677,-2.23084350456013,ACTIVE,3
TRAIN,2026-04-22T00:00:00-05:00,2026_04.csv,6,-0.0963839033556641,1.71936887924149,ACTIVE,0
TRAIN,2026-04-22T02:44:00-05:00,2026_04.csv,4,-0.176726775818778,-1.37199695601187,ACTIVE,3
TRAIN,2026-04-22T06:43:00-05:00,2026_04.csv,5,-0.0848990797301874,1.1594610703962,ACTIVE,0
TRAIN,2026-04-22T15:08:00-05:00,2026_04.csv,7,-0.97303986793054,-4.03848452050671,ACTIVE,5
TRAIN,2026-04-22T22:40:00-05:00,2026_04.csv,9,-0.221829678600273,2.2126151367686,ACTIVE,0
TRAIN,2026-04-23T02:49:00-05:00,2026_04.csv,8,0.0604339797911446,-1.14140556843218,ACTIVE,3
TRAIN,2026-04-23T04:08:00-05:00,2026_04.csv,9,-0.0266611117871399,1.83861433855495,ACTIVE,0
TRAIN,2026-04-23T10:33:00-05:00,2026_04.csv,10,-0.853321553103157,-4.00183647318237,ACTIVE,5
TRAIN,2026-04-23T12:46:00-05:00,2026_04.csv,6,-0.23592519434733,5.32883131351326,ACTIVE,1
TRAIN,2026-04-23T19:30:00-05:00,2026_04.csv,5,-0.103574491152476,-2.92554188286118,ACTIVE,3
TRAIN,2026-04-23T23:25:00-05:00,2026_04.csv,4,-0.255544558733555,1.54505365223083,ACTIVE,0
TRAIN,2026-04-24T03:21:00-05:00,2026_04.csv,8,-1.1246380012112,-2.19147063100412,QUIET,5
TRAIN,2026-04-24T04:22:00-05:00,2026_04.csv,4,0.334394767799661,1.52680416731589,ACTIVE,0
TRAIN,2026-04-24T06:30:00-05:00,2026_04.csv,12,-1.38101120499373,-3.6250946301568,QUIET,5
TRAIN,2026-04-24T08:56:00-05:00,2026_04.csv,6,-0.0258355938233529,2.93326508918422,ACTIVE,0
TRAIN,2026-04-24T12:54:00-05:00,2026_04.csv,4,-1.5359997198638,-3.49096538746295,QUIET,5
TRAIN,2026-04-26T17:06:00-05:00,2026_04.csv,5,-0.140057468182706,2.29601093801584,ACTIVE,0
TRAIN,2026-04-26T23:39:00-05:00,2026_04.csv,5,-1.38301142273766,-2.4868809385957,QUIET,5
TRAIN,2026-04-27T03:15:00-05:00,2026_04.csv,7,-0.0748927008659844,1.66861095926835,ACTIVE,0
TRAIN,2026-04-27T06:32:00-05:00,2026_04.csv,5,-0.19693930812386,-1.18133695857936,ACTIVE,3
TRAIN,2026-04-27T08:52:00-05:00,2026_04.csv,7,-0.358023669199305,2.86012743004464,ACTIVE,0
TRAIN,2026-04-27T19:11:00-05:00,2026_04.csv,6,-0.365807579689988,-2.34282582794028,ACTIVE,3
TRAIN,2026-04-27T21:58:00-05:00,2026_04.csv,4,-0.106029002116003,1.65717335807562,ACTIVE,0
TRAIN,2026-04-27T23:46:00-05:00,2026_04.csv,11,-0.353315625566187,-0.987909880837316,ACTIVE,3
TRAIN,2026-04-28T07:31:00-05:00,2026_04.csv,9,-0.681806882097324,4.04657708509227,ACTIVE,1
TRAIN,2026-04-28T08:49:00-05:00,2026_04.csv,6,0.277651418655307,-3.43876996566151,ACTIVE,3
TRAIN,2026-04-28T10:49:00-05:00,2026_04.csv,8,-1.21590885730422,4.4435451837462,ACTIVE,1
TRAIN,2026-04-28T19:30:00-05:00,2026_04.csv,5,0.0561205375919996,-2.76533899830289,ACTIVE,3
TRAIN,2026-04-28T20:08:00-05:00,2026_04.csv,4,-0.0217173700941233,1.88395065217456,ACTIVE,0
TRAIN,2026-04-29T01:05:00-05:00,2026_04.csv,10,-0.152683079284823,-1.33483362538818,ACTIVE,3
TRAIN,2026-04-29T03:16:00-05:00,2026_04.csv,8,-0.0408405092673376,1.66608540976155,ACTIVE,0
TRAIN,2026-04-29T05:32:00-05:00,2026_04.csv,8,-0.125932321486771,-2.03475570701774,ACTIVE,3
TRAIN,2026-04-29T08:35:00-05:00,2026_04.csv,6,-0.131997106449847,3.36549162476129,ACTIVE,0
TRAIN,2026-04-29T09:37:00-05:00,2026_04.csv,4,-0.0369200987687544,-3.96374714411732,ACTIVE,3
TRAIN,2026-04-29T11:34:00-05:00,2026_04.csv,5,-0.037004330766474,3.0189967284358,ACTIVE,0
TRAIN,2026-04-29T15:03:00-05:00,2026_04.csv,10,-0.132137787281784,-4.52335133575102,ACTIVE,3
TRAIN,2026-04-29T15:18:00-05:00,2026_04.csv,10,0.907835710100459,6.06512735759001,ACTIVE,1
TRAIN,2026-04-29T19:39:00-05:00,2026_04.csv,6,-0.684131212921786,-3.80948939976872,ACTIVE,3
TRAIN,2026-04-30T01:11:00-05:00,2026_04.csv,11,-0.384213966973636,3.19617266854118,ACTIVE,0
TRAIN,2026-04-30T07:30:00-05:00,2026_04.csv,7,-0.205806826896664,-2.99883500262345,ACTIVE,3
TRAIN,2026-04-30T09:17:00-05:00,2026_04.csv,6,-0.300419383619451,5.0996629973154,ACTIVE,1
TRAIN,2026-04-30T17:08:00-05:00,2026_04.csv,4,-1.63441687772052,-3.30430950502663,QUIET,5
TRAIN,2026-04-30T17:57:00-05:00,2026_04.csv,5,-0.165403208215822,1.54741687388883,ACTIVE,0
TRAIN,2026-04-30T22:31:00-05:00,2026_04.csv,7,-1.25683688195826,-2.54131243317221,QUIET,5
TRAIN,2026-04-30T23:43:00-05:00,2026_04.csv,4,-0.323427805504274,0.762411386688891,ACTIVE,0
TRAIN,2026-05-01T05:40:00-05:00,2026_05.csv,10,-2.10583573849324,0.779750179902412,QUIET,5
TRAIN,2026-05-01T10:50:00-05:00,2026_05.csv,0,1.02321068152118,-1.3656426121278,QUIET,3
TRAIN,2026-05-01T13:46:00-05:00,2026_05.csv,6,-0.0455273836619415,1.94916439246762,ACTIVE,0
TRAIN,2026-05-01T14:30:00-05:00,2026_05.csv,7,0.200010194038116,-2.08017987617259,ACTIVE,3
TRAIN,2026-05-01T15:57:00-05:00,2026_05.csv,1,-0.000770772209498269,2.00442822725385,ACTIVE,0
TRAIN,2026-05-04T00:19:00-05:00,2026_05.csv,6,-1.7167768729854,-2.48877477022148,QUIET,5
TRAIN,2026-05-04T05:21:00-05:00,2026_05.csv,7,0.308756973352325,4.39760906733292,ACTIVE,1
TRAIN,2026-05-04T09:46:00-05:00,2026_05.csv,6,0.0797587683682015,-3.04912754164761,ACTIVE,3
